name,lat,lng,rank,address,thumbnail,n_ug,page_url,zip,type,year_founded,setting,endowment
Princeton University,40.3439888,-74.6514481,1,"Princeton, NJ",https://www.usnews.com/best-colleges/princeton-university-2627/photos,5400,https://www.usnews.com/best-colleges/princeton-university-2627,08544,"Private, Coed",1746,Suburban,$21.7 billion +
Harvard University,42.3770029,-71.11666009999999,2,"Cambridge, MA",https://www.usnews.com/best-colleges/harvard-university-2155/photos,6710,https://www.usnews.com/best-colleges/harvard-university-2155,02138,"Private, Coed",1636,Urban,$35.7 billion
University of Chicago,41.7886079,-87.5987133,3,"Chicago, IL",https://www.usnews.com/best-colleges/university-of-chicago-1774/photos,5941,https://www.usnews.com/best-colleges/university-of-chicago-1774,60637,"Private, Coed",1890,Urban,$6.1 billion +
Yale University,41.3163244,-72.92234309999999,3,"New Haven, CT",https://www.usnews.com/best-colleges/yale-university-1426/photos,5472,https://www.usnews.com/best-colleges/yale-university-1426,06520,"Private, Coed",1701,City,$25.4 billion +
Columbia University,40.8075355,-73.9625727,5,"New York, NY",https://www.usnews.com/best-colleges/columbia-university-2707/photos,6113,https://www.usnews.com/best-colleges/columbia-university-2707,10027,"Private, Coed",1754,Urban,$9.0 billion +
Massachusetts Institute of Technology,42.360091,-71.09416,5,"Cambridge, MA",https://www.usnews.com/best-colleges/mit-2178/photos,4524,https://www.usnews.com/best-colleges/mit-2178,02139,"Private, Coed",1861,Urban,$13.2 billion
Stanford University,37.4274745,-122.169719,5,"Stanford, CA",https://www.usnews.com/best-colleges/stanford-1305/photos,7034,https://www.usnews.com/best-colleges/stanford-1305,94305,"Private, Coed",1885,Suburban,$22.4 billion
University of Pennsylvania,39.9522188,-75.1932137,8,"Philadelphia, PA",https://www.usnews.com/best-colleges/university-of-pennsylvania-3378/photos,10019,https://www.usnews.com/best-colleges/university-of-pennsylvania-3378,19104,"Private, Coed",1740,Urban,$10.7 billion +
Duke University,36.0014258,-78.9382286,9,"Durham, NC",https://www.usnews.com/best-colleges/duke-university-2920/photos,6609,https://www.usnews.com/best-colleges/duke-university-2920,27708,"Private, Coed",1838,Suburban,$6.8 billion +
California Institute of Technology,34.1376576,-118.125269,10,"Pasadena, CA",https://www.usnews.com/best-colleges/cal-tech-1131/photos,979,https://www.usnews.com/best-colleges/cal-tech-1131,91125,"Private, Coed",1891,Suburban,$2.2 billion +
